DACNAME;PLATFORM;LAUNCH_DATE;TRANS_SYSTEM;PLATFORM_TYPE;SENSOR_MODEL;SENSOR_SERIAL_NO;PI_NAME;PROJECT_NAME;Actif/Not Actif;LAST_CY_R;LAST_CY_D;DATE_LAST_DM_PSAL;LAST_CY_BR;LAST_CY_BD;DATE_LAST_DM_OXY 
coriolis;6903232;2018-02-25;IRIDIUM;ARVOR;SBE41CP_V7.2.5;9781;Pierre-Marie Poulain;ARGO Italy;A;103;_;-;_;_;-
coriolis;6903233;2018-02-26;IRIDIUM;NOVA;SBE41CP;8468;Pierre-Marie POULAIN;ARGO Italy;A;103;_;-;103;_;-
coriolis;6903234;2018-03-04;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10061;Pierre-Marie Poulain;ARGO Italy;A;204;_;-;_;_;-
coriolis;6903235;2018-03-11;IRIDIUM;PROVOR_III;SBE41CP;5396;Pierre-Marie Poulain;ARGO Italy;NA;055;_;-;055;037;-
coriolis;6903236;2018-03-11;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10062;Pierre-Marie Poulain;Argo-Italy;NA;086;_;-;_;_;-
coriolis;6903237;2018-03-16;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10110;Pierre-Marie Poulain;ARGO Italy;A;201;_;-;201;_;-
coriolis;6903238;2018-03-21;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10112;Pierre-Marie Poulain;ARGO Italy;A;200;_;-;200;_;-
coriolis;6903239;2018-03-22;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10063;Pierre-Marie Poulain;ARGO Italy;A;200;_;-;_;_;-
coriolis;6903240;2018-03-29;IRIDIUM;PROVOR_III;SBE41CP_V7.2.5;9705;Pierre-Marie Poulain;ARGO Italy;A;209;_;-;209;105;-
coriolis;6903241;2018-07-04;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10065;Pierre-Marie Poulain;ARGO Italy;NA;142;_;-;_;_;-
coriolis;6903242;2018-08-20;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10064;Pierre-Marie Poulain;Argo Italy;NA;907;_;-;_;_;-
coriolis;6903243;2018-10-18;IRIDIUM;ARVOR_D;SBE41CP;10981;Pierre-Marie Poulain;ARGO Italy;NA;001;_;-;_;_;-
coriolis;6903244;2018-10-25;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10661;Pierre-Marie Poulain;ARGO Italy;NA;051;_;-;_;_;-
coriolis;6903245;2018-10-18;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10498;Pierre-Marie Poulain;ARGO Italy;A;156;_;-;_;_;-
coriolis;6903246;2018-10-25;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10113;Pierre-Marie Poulain;ARGO Italy;NA;133;_;-;133;_;-
coriolis;6903247;2018-10-18;IRIDIUM;PROVOR_III;SBE41CP;5398;Pierre-Marie Poulain;ARGO Italy;A;176;_;-;176;_;-
coriolis;6903248;2018-09-26;IRIDIUM;ARVOR;SBE41CP_V7.2.5;10662;Pierre-Marie Poulain;ARGO Italy;A;320;_;-;_;_;-
coriolis;6903249;2018-10-06;IRIDIUM;PROVOR_III;SBE41CP_V7.2.5;9898;Pierre-Marie Poulain;ARGO Italy;A;175;_;-;175;_;-
coriolis;6903250;2018-10-08;IRIDIUM;PROVOR_III;SBE41CP_V7.2.5;9896;Pierre-Marie Poulain;ARGO Italy;A;172;_;-;172;_;-
coriolis;6903251;2019-02-10;IRIDIUM;ARVOR;SBE41CP;10570;Pierre-Marie Poulain;ARGO Italy;A;068;_;-;_;_;-
coriolis;6903252;2019-02-08;IRIDIUM;ARVOR;SBE41CP;10593;Pierre-Marie Poulain;ARGO Italy;A;068;_;-;_;_;-
coriolis;6903253;2019-02-10;IRIDIUM;ARVOR;SBE41CP;10594;Pierre-Marie Poulain;ARGO Italy;A;068;_;-;_;_;-
coriolis;6903254;2019-02-09;IRIDIUM;ARVOR;SBE41CP;10597;Pierre-Marie Poulain;ARGO Italy;A;068;_;-;_;_;-
coriolis;6903255;2019-02-28;IRIDIUM;ARVOR;SBE41CP;10569;Pierre-Marie Poulain;ARGO Italy;A;066;044;2020-12-03;_;_;-
coriolis;6903256;2019-02-28;IRIDIUM;ARVOR;SBE41CP;10566;Pierre-Marie Poulain;ARGO Italy;NA;_;045;2020-12-03;_;_;-
coriolis;6903257;2019-03-01;IRIDIUM;ARVOR;SBE41CP;10596;Pierre-Marie Poulain;ARGO Italy;NA;045;_;-;_;_;-
coriolis;6903258;2019-03-01;IRIDIUM;ARVOR;SBE41CP;10568;Pierre-Marie Poulain;ARGO Italy;A;066;065;2020-12-10;_;_;-
coriolis;6903259;2019-03-03;IRIDIUM;ARVOR;SBE41CP;10499;Pierre-Marie Poulain;ARGO Italy;A;131;_;-;_;_;-
coriolis;6903260;2019-03-05;IRIDIUM;ARVOR;SBE41CP;10665;Pierre-Marie Poulain;ARGO Italy;A;131;_;-;_;_;-
coriolis;6903261;2019-03-08;IRIDIUM;ARVOR;SBE41CP;10500;Pierre-Marie Poulain;Argo Italy , MOMA;A;065;_;-;_;_;-
coriolis;6903262;2019-03-18;IRIDIUM;ARVOR;SBE41CP;10664;Pierre-Marie Poulain;Argo Italy , PERLE2;A;128;_;-;128;_;-
coriolis;6903263;2019-03-23;IRIDIUM;ARVOR;SBE41CP;10667;Pierre-Marie Poulain;Argo Italy , ADRI19_01;A;127;_;-;127;_;-
coriolis;6903264;2019-03-30;IRIDIUM;ARVOR;SBE41CP;10598;Pierre-Marie Poulain;Argo Italy, CALYPSO 2019;A;472;_;-;_;_;-
coriolis;6903265;2019-03-30;IRIDIUM;ARVOR;SBE41CP;10501;Pierre-Marie Poulain;Argo Italy,CALYPSO 2019;NA;097;_;-;097;_;-
coriolis;6903266;2019-04-05;IRIDIUM;ARVOR;SBE41CP;10595;Pierre-Marie Poulain;Argo Italy,CALYPSO 2019;A;269;_;-;269;_;-
coriolis;6903267;2019-07-19;IRIDIUM;ARVOR_D;SBE41CP;10979;Pierre-Marie Poulain;ARGO Italy;NA;006;_;-;006;_;-
coriolis;6903268;2019-10-22;IRIDIUM;ARVOR_D;SBE41CP;41-10985;Pierre-Marie Poulain;Argo-Italy;A;084;_;-;084;_;-
coriolis;6903269;2019-09-11;IRIDIUM;ARVOR;SBE41CP;11692;Pierre-Marie Poulain;ARGO Italy;A;092;_;-;_;_;-
coriolis;6903270;2019-09-12;IRIDIUM;ARVOR;SBE41CP;11690;Pierre-Marie Poulain;ARGO Italy;A;092;_;-;_;_;-
coriolis;6903271;2019-10-01;IRIDIUM;ARVOR;SBE41CP;41-11689;Pierre-Marie Poulain;Euro-Argo RISE;A;233;_;-;_;_;-
coriolis;6903272;2016-01-14;IRIDIUM;APEX;SBE41CP;7222;Kjell Arne MORK;ARGO Norway;A;184;174;2020-09-12;_;_;-
coriolis;6903273;2016-01-14;IRIDIUM;APEX;SBE41CP;7680;Kjell Arne MORK;ARGO Norway;A;199;188;2020-09-10;199;_;-
coriolis;6903275;2016-05-18;IRIDIUM;NOVA;SBE41CP;7075;Dimitris KASSIS;ARGO Greece;NA;041;_;-;041;_;-
coriolis;6903276;2016-07-13;IRIDIUM;NOVA;SBE41;7927;Dimitris KASSIS;ARGO Greece;NA;214;_;-;_;_;-
coriolis;6903277;2016-12-06;IRIDIUM;NOVA;SBE41CP;7421;Dimitris KASSIS;ARGO Greece;NA;067;_;-;_;_;-
coriolis;6903278;2017-04-02;IRIDIUM;NOVA;SBE41CP;273;Dimitris Kassis;ARGO Greece;NA;057;_;-;_;_;-
coriolis;6903279;2017-04-05;IRIDIUM;NOVA;SBE41CP;7385;Dimitris Kassis;ARGO Greece;NA;089;_;-;_;_;-
coriolis;6903280;2017-04-06;IRIDIUM;NOVA;SBE41CP;7327;Dimitris Kassis;ARGO Greece;NA;046;_;-;_;_;-
coriolis;6903281;2018-05-22;IRIDIUM;NOVA;SBE41CP;n/a;Dimitris Kassis;ARGO Greece;NA;033;_;-;_;_;-
coriolis;6903282;2018-05-23;IRIDIUM;NOVA;SBE41CP;n/a;Dimitris Kassis;ARGO Greece;NA;134;_;-;_;_;-
coriolis;6903283;2018-06-17;IRIDIUM;NOVA;SBE41CP;7116;Dimitris KASSIS;ARGO Greece;NA;096;_;-;096;_;-
coriolis;6903284;2018-06-19;IRIDIUM;NOVA;SBE41CP;7158;Dimitris KASSIS;ARGO Greece;NA;041;_;-;_;_;-
coriolis;6903285;2018-07-12;IRIDIUM;NOVA;SBE41CP;SBD9602F;Dimitris KASSIS;ARGO Greece;NA;079;_;-;_;_;-
coriolis;6903286;2019-07-23;IRIDIUM;NOVA;SBE41CP;SBD9602F;Dimitris Kassis;Greek Argo;NA;004;_;-;004;_;-
coriolis;6903287;2018-07-15;IRIDIUM;NOVA;SBE41CP;SBD9602F;Dimitris KASSIS;ARGO Greece;NA;016;_;-;_;_;-
coriolis;6903288;2020-02-09;IRIDIUM;APEX;SBE41CP_V7.2.5;SBD9602F;Dimitris KASSIS;Euro-Argo RISE;NA;120;_;-;120;_;-
coriolis;6903289;2020-08-29;IRIDIUM;NOVA;SBE41CP;7149;Dimitris Kassis;ARGO Greece;NA;015;_;-;_;_;-
coriolis;6903290;2020-08-29;IRIDIUM;NOVA;SBE41CP;5717;Dimitris Kassis;ARGO Greece;NA;016;_;-;_;_;-
